"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Embarked","group_age","Embarked_cat"
1,0,3,"male",22,1,0,"S","18-60",1
2,1,1,"female",38,1,0,"C","18-60",2
3,1,3,"female",26,0,0,"S","18-60",1
4,1,1,"female",35,1,0,"S","18-60",1
5,0,3,"male",35,0,0,"S","18-60",1
6,0,3,"male",22,0,0,"Q","18-60",3
7,0,1,"male",54,0,0,"S","18-60",1
8,0,3,"male",2,3,1,"S","menors",1
9,1,3,"female",27,0,2,"S","18-60",1
10,1,2,"female",14,1,0,"C","menors",2
11,1,3,"female",4,1,1,"S","menors",1
12,1,1,"female",58,0,0,"S","18-60",1
13,0,3,"male",20,0,0,"S","18-60",1
14,0,3,"male",39,1,5,"S","18-60",1
15,0,3,"female",14,0,0,"S","menors",1
16,1,2,"female",55,0,0,"S","18-60",1
17,0,3,"male",2,4,1,"Q","menors",3
18,1,2,"male",22,0,0,"S","18-60",1
19,0,3,"female",31,1,0,"S","18-60",1
20,1,3,"female",23,0,0,"C","18-60",2
21,0,2,"male",35,0,0,"S","18-60",1
22,1,2,"male",34,0,0,"S","18-60",1
23,1,3,"female",15,0,0,"Q","menors",3
24,1,1,"male",28,0,0,"S","18-60",1
25,0,3,"female",8,3,1,"S","menors",1
26,1,3,"female",38,1,5,"S","18-60",1
27,0,3,"male",22,0,0,"C","18-60",2
28,0,1,"male",19,3,2,"S","18-60",1
29,1,3,"female",23,0,0,"Q","18-60",3
30,0,3,"male",22,0,0,"S","18-60",1
31,0,1,"male",40,0,0,"C","18-60",2
32,1,1,"female",23,1,0,"C","18-60",2
33,1,3,"female",23,0,0,"Q","18-60",3
34,0,2,"male",66,0,0,"S",">60",1
35,0,1,"male",28,1,0,"C","18-60",2
36,0,1,"male",42,1,0,"S","18-60",1
37,1,3,"male",22,0,0,"C","18-60",2
38,0,3,"male",21,0,0,"S","18-60",1
39,0,3,"female",18,2,0,"S","18-60",1
40,1,3,"female",14,1,0,"C","menors",2
41,0,3,"female",40,1,0,"S","18-60",1
42,0,2,"female",27,1,0,"S","18-60",1
43,0,3,"male",22,0,0,"C","18-60",2
44,1,2,"female",3,1,2,"C","menors",2
45,1,3,"female",19,0,0,"Q","18-60",3
46,0,3,"male",22,0,0,"S","18-60",1
47,0,3,"male",22,1,0,"Q","18-60",3
48,1,3,"female",23,0,0,"Q","18-60",3
49,0,3,"male",22,2,0,"C","18-60",2
50,0,3,"female",18,1,0,"S","18-60",1
51,0,3,"male",7,4,1,"S","menors",1
